Source,Target,Type,Id,Weight
8,92,undirected,266,1
8,99,undirected,267,1
80,117,undirected,268,1
83,84,undirected,269,1
86,87,undirected,270,1
86,88,undirected,271,1
86,89,undirected,272,1
87,88,undirected,273,1
87,89,undirected,274,1
88,89,undirected,275,1
9,115,undirected,276,1
9,15,undirected,277,1
9,57,undirected,278,1
9,58,undirected,279,1
9,68,undirected,280,1
9,69,undirected,281,1
9,70,undirected,282,1
9,83,undirected,283,1
9,84,undirected,284,1
9,92,undirected,285,1
90,91,undirected,286,1
94,105,undirected,287,1
94,106,undirected,288,1
94,95,undirected,289,1
94,96,undirected,290,1
94,97,undirected,291,1
94,98,undirected,292,1
95,105,undirected,293,1
95,106,undirected,294,1
95,96,undirected,295,1
95,97,undirected,296,1
95,98,undirected,297,1
96,97,undirected,298,1
96,98,undirected,299,1
97,98,undirected,300,1
