Id,Label,GC
1,0,1
2,0,2818
3,0,2818
4,0,-2
5,0,2818
6,0,100
7,0,100
8,0,1311
9,0,-2
10,0,135
11,0,135
12,0,1144
13,0,-2
14,0,1311
15,0,1311
16,0,-2
17,0,4041
18,0,4041
19,0,2503
20,0,-2
21,0,-2
22,0,-2
23,0,332
24,0,332
25,0,1884
26,0,1884
27,0,1311
28,0,-2
29,0,-2
30,0,2714
31,0,-2
32,0,-2
33,0,1020
34,0,-2
35,0,519
36,0,-2
37,0,519
38,0,2683
39,0,-2
40,0,2683
41,0,-3
42,0,-2
43,0,332
44,0,332
45,0,-3
46,0,1311
47,0,1144
48,0,-2
49,0,-2
50,0,2683
51,0,1311
52,0,1311
53,0,-3
54,0,1020
55,0,1020
56,0,-2
57,0,2683
58,0,2683
59,0,2683
60,0,965
61,0,965
62,0,965
63,0,965
64,0,965
65,0,965
66,0,965
67,0,965
68,0,1
69,0,1
70,0,1
71,0,1144
72,0,1144
73,0,1020
74,0,1020
75,0,-2
76,0,1020
77,0,1020
78,0,1020
79,0,1020
80,0,519
81,0,519
82,0,519
83,0,1095
84,0,1095
85,0,1115
86,0,1115
87,0,1115
88,0,1115
89,0,1115
90,0,1115
91,0,-2
92,0,-2
93,0,2683
94,0,1144
95,0,1144
96,0,1144
97,0,-2
98,0,1020
99,0,1020
100,0,1020
101,0,1020
102,0,1020
103,0,2885
104,0,-2
105,0,508
106,0,508
107,0,1257
108,0,1257
109,0,2683
110,0,508
111,0,508
112,0,1294
113,0,1294
114,0,-2
115,0,1311
116,0,1311
117,0,1331
118,0,1331
119,0,1331
120,0,1020
121,0,1020
122,0,-2
123,0,-2
124,0,2503
125,0,-2
126,0,-2
127,0,-2
128,0,-2
129,0,135
130,0,-2
131,0,-2
132,0,-4
133,0,-2
134,0,1020
135,0,1020
136,0,-2
137,0,519
138,0,-3
139,0,1
140,0,1
141,0,1
142,0,-2
143,0,2503
144,0,-2
145,0,2683
146,0,1311
147,0,1311
148,0,1311
149,0,1311
150,0,1311
151,0,-2
152,0,-2
153,0,1752
154,0,1311
155,0,-2
156,0,1033
157,0,1033
158,0,-2
159,0,1020
160,0,1884
161,0,1884
162,0,1884
163,0,1884
164,0,1615
165,0,1615
166,0,508
167,0,508
168,0,508
169,0,-2
170,0,1379
171,0,1379
172,0,-2
173,0,1986
174,0,1986
175,0,1986
176,0,1144
177,0,2002
178,0,2002
179,0,2002
180,0,-3
181,0,2683
182,0,508
183,0,1379
184,0,1379
185,0,-2
186,0,508
187,0,-3
188,0,1095
189,0,-2
190,0,906
191,0,906
192,0,1615
193,0,-2
194,0,2020
195,0,2020
196,0,2162
197,0,2162
198,0,2162
199,0,2162
200,0,2162
201,0,2162
202,0,2162
203,0,2162
204,0,2002
205,0,2002
206,0,-2
207,0,-2
208,0,1144
209,0,4148
210,0,4148
211,0,4148
212,0,4148
213,0,2683
214,0,2683
215,0,1257
216,0,1257
217,0,2272
218,0,2272
219,0,2272
220,0,2355
221,0,2355
222,0,2355
223,0,2375
224,0,2375
225,0,-2
226,0,2375
227,0,2375
228,0,135
229,0,135
230,0,1311
231,0,1311
232,0,1311
233,0,1379
234,0,2885
235,0,2885
236,0,2463
237,0,2463
238,0,2463
239,0,2503
240,0,2503
241,0,2503
242,0,2503
243,0,-3
244,0,-4
245,0,2683
246,0,1311
247,0,1311
248,0,100
249,0,100
250,0,-2
251,0,508
252,0,2608
253,0,2503
254,0,-2
255,0,-2
256,0,508
257,0,508
258,0,2683
259,0,-2
260,0,-3
261,0,2683
262,0,2683
263,0,2714
264,0,2714
265,0,2714
266,0,2714
267,0,2736
268,0,2736
269,0,-2
270,0,906
271,0,906
272,0,906
273,0,906
274,0,906
275,0,906
276,0,2683
277,0,2683
278,0,2818
279,0,2818
280,0,1115
281,0,2503
282,0,-2
283,0,2503
284,0,1311
285,0,-2
286,0,1311
287,0,1311
288,0,1311
289,0,2885
290,0,2885
291,0,2885
292,0,2885
293,0,2355
294,0,2355
295,0,2683
296,0,2683
297,0,1020
298,0,1020
299,0,1020
300,0,906
301,0,-2
302,0,-2
303,0,332
304,0,906
305,0,906
306,0,906
307,0,906
308,0,1616
309,0,1616
310,0,1616
311,0,1115
312,0,-2
313,0,-2
314,0,3066
315,0,-2
316,0,-2
317,0,-2
318,0,1144
319,0,2683
320,0,2683
321,0,1020
322,0,1020
323,0,1020
324,0,1020
325,0,-3
326,0,1294
327,0,1020
328,0,-2
329,0,2013
330,0,2013
331,0,4041
332,0,1294
333,0,1294
334,0,1294
335,0,-2
336,0,-2
337,0,2683
