Id,Label,GC
1,0,-2
2,0,13
3,0,161
4,0,18
5,0,21
6,0,22
7,0,23
8,0,588
9,0,305
10,0,27
11,0,27
12,0,21
13,0,13
14,0,21
15,0,13
16,0,131
17,0,27
18,0,21
19,0,305
20,0,37
21,0,39
22,0,21
23,0,37
24,0,44
25,0,456
26,0,13
27,0,-2
28,0,54
29,0,-2
30,0,37
31,0,13
32,0,57
33,0,588
34,0,259
35,0,294
36,0,64
37,0,65
38,0,413
39,0,-2
40,0,456
41,0,75
42,0,647
43,0,39
44,0,85
45,0,309
46,0,204
47,0,247
48,0,377
49,0,95
50,0,-2
51,0,98
52,0,13
53,0,100
54,0,137
55,0,44
56,0,161
57,0,161
58,0,-2
59,0,112
60,0,115
61,0,161
62,0,27
63,0,309
64,0,167
65,0,-2
66,0,125
67,0,259
68,0,127
69,0,128
70,0,131
71,0,65
72,0,65
73,0,21
74,0,135
75,0,137
76,0,259
77,0,-2
78,0,65
79,0,-2
80,0,-2
81,0,65
82,0,95
83,0,49
84,0,161
85,0,147
86,0,65
87,0,13
88,0,44
89,0,-2
90,0,413
91,0,137
92,0,-2
93,0,161
94,0,161
95,0,165
96,0,167
97,0,161
98,0,309
99,0,161
100,0,209
101,0,95
102,0,161
103,0,161
104,0,161
105,0,309
106,0,161
107,0,95
108,0,167
109,0,190
110,0,161
111,0,161
112,0,165
113,0,-2
114,0,165
115,0,204
116,0,161
117,0,156
118,0,204
119,0,209
120,0,210
121,0,161
122,0,204
123,0,112
124,0,309
125,0,112
126,0,309
127,0,210
128,0,161
129,0,161
130,0,-2
131,0,161
132,0,309
133,0,-2
134,0,156
135,0,161
136,0,95
137,0,161
138,0,100
139,0,95
140,0,156
141,0,161
142,0,247
143,0,209
144,0,588
145,0,247
146,0,37
147,0,-2
148,0,588
149,0,258
150,0,259
151,0,190
152,0,247
153,0,98
154,0,115
155,0,147
156,0,305
157,0,285
158,0,285
159,0,305
160,0,96
161,0,247
162,0,377
163,0,125
164,0,65
165,0,-2
166,0,259
167,0,167
168,0,285
169,0,161
170,0,112
171,0,294
172,0,647
173,0,588
174,0,647
175,0,161
176,0,301
177,0,209
178,0,161
179,0,305
180,0,377
181,0,247
182,0,309
183,0,167
184,0,161
185,0,336
186,0,190
187,0,430
188,0,161
189,0,100
190,0,484
191,0,-2
192,0,21
193,0,322
194,0,324
195,0,95
196,0,301
197,0,247
198,0,190
199,0,-2
200,0,161
201,0,247
202,0,336
203,0,247
204,0,309
205,0,258
206,0,167
207,0,301
208,0,322
209,0,167
210,0,165
211,0,98
212,0,309
213,0,247
214,0,161
215,0,161
216,0,161
217,0,161
218,0,18
219,0,247
220,0,-2
221,0,115
222,0,165
223,0,647
224,0,413
225,0,209
226,0,18
227,0,209
228,0,204
229,0,23
230,0,161
231,0,161
232,0,161
233,0,167
234,0,258
235,0,161
236,0,100
237,0,322
238,0,100
239,0,-2
240,0,377
241,0,161
242,0,100
243,0,-2
244,0,96
245,0,322
246,0,322
247,0,-2
248,0,209
249,0,137
250,0,-2
251,0,247
252,0,161
253,0,161
254,0,100
255,0,156
256,0,247
257,0,156
258,0,161
259,0,161
260,0,161
261,0,204
262,0,161
263,0,112
264,0,96
265,0,161
266,0,161
267,0,-2
268,0,322
269,0,131
270,0,209
271,0,-2
272,0,413
273,0,96
274,0,-2
275,0,413
276,0,112
277,0,309
278,0,161
279,0,161
280,0,65
281,0,377
282,0,430
283,0,135
284,0,54
285,0,44
286,0,247
287,0,64
288,0,-2
289,0,125
290,0,259
291,0,115
292,0,85
293,0,441
294,0,441
295,0,137
296,0,247
297,0,96
298,0,-2
299,0,324
300,0,430
301,0,259
302,0,127
303,0,305
304,0,377
305,0,21
306,0,23
307,0,456
308,0,550
309,0,64
310,0,190
311,0,647
312,0,305
313,0,550
314,0,413
315,0,324
316,0,377
317,0,550
318,0,413
319,0,95
320,0,125
321,0,39
322,0,190
323,0,18
324,0,483
325,0,483
326,0,483
327,0,483
328,0,483
329,0,483
330,0,483
331,0,484
332,0,483
333,0,23
334,0,127
335,0,483
336,0,-2
337,0,-2
338,0,483
339,0,-2
340,0,115
341,0,285
342,0,13
343,0,506
344,0,259
345,0,-2
346,0,483
347,0,483
348,0,190
349,0,161
350,0,37
351,0,39
352,0,98
353,0,210
354,0,377
355,0,21
356,0,131
357,0,27
358,0,506
359,0,75
360,0,259
361,0,506
362,0,190
363,0,588
364,0,125
365,0,190
366,0,506
367,0,37
368,0,115
369,0,27
370,0,13
371,0,258
372,0,301
373,0,430
374,0,247
375,0,161
376,0,165
377,0,-2
378,0,647
379,0,167
380,0,167
381,0,209
382,0,85
383,0,258
384,0,647
385,0,161
386,0,161
387,0,204
388,0,161
389,0,167
390,0,-2
391,0,161
392,0,161
393,0,309
394,0,57
395,0,100
396,0,301
397,0,484
398,0,483
399,0,483
400,0,483
401,0,57
402,0,484
403,0,161
404,0,161
405,0,456
406,0,161
407,0,204
408,0,135
409,0,483
410,0,-2
411,0,484
412,0,483
413,0,483
414,0,483
415,0,483
416,0,483
417,0,483
418,0,57
419,0,483
420,0,209
421,0,285
422,0,127
423,0,161
424,0,161
425,0,377
426,0,131
427,0,161
428,0,127
429,0,156
430,0,156
431,0,483
432,0,483
433,0,483
434,0,483
435,0,483
436,0,484
437,0,57
438,0,483
439,0,483
440,0,57
441,0,483
442,0,483
443,0,484
444,0,483
445,0,483
446,0,483
447,0,483
448,0,484
449,0,484
450,0,483
451,0,483
452,0,484
453,0,483
454,0,484
455,0,483
456,0,483
457,0,483
458,0,127
459,0,550
460,0,301
461,0,441
462,0,161
463,0,-3
464,0,161
465,0,115
466,0,44
467,0,138
468,0,483
469,0,483
470,0,138
471,0,484
472,0,247
473,0,161
474,0,336
475,0,100
476,0,285
477,0,39
478,0,-2
479,0,44
480,0,305
481,0,-2
482,0,161
483,0,377
484,0,377
485,0,324
486,0,247
487,0,44
488,0,259
489,0,13
490,0,125
491,0,95
492,0,430
493,0,483
494,0,483
495,0,483
496,0,483
497,0,483
498,0,95
499,0,18
500,0,588
501,0,125
502,0,44
503,0,100
504,0,588
505,0,484
506,0,161
507,0,96
508,0,506
509,0,23
510,0,588
511,0,247
512,0,430
513,0,135
514,0,138
515,0,125
516,0,39
517,0,550
518,0,127
519,0,115
520,0,13
521,0,204
522,0,131
523,0,125
524,0,131
525,0,64
526,0,190
527,0,39
528,0,37
529,0,115
530,0,98
531,0,588
532,0,165
533,0,209
534,0,161
535,0,-2
536,0,-2
537,0,324
538,0,127
539,0,258
540,0,100
541,0,209
542,0,209
543,0,161
544,0,161
545,0,161
546,0,301
547,0,18
548,0,54
549,0,322
550,0,413
551,0,161
552,0,156
553,0,112
554,0,161
555,0,100
556,0,156
557,0,-2
558,0,165
559,0,247
560,0,-2
561,0,161
562,0,96
563,0,259
564,0,204
565,0,647
566,0,322
567,0,161
568,0,441
569,0,377
570,0,247
571,0,95
572,0,161
573,0,322
574,0,167
575,0,247
576,0,137
577,0,112
578,0,165
579,0,413
580,0,96
581,0,161
582,0,301
583,0,259
584,0,161
585,0,112
586,0,-2
587,0,165
588,0,190
589,0,-2
590,0,-2
591,0,204
592,0,336
593,0,550
594,0,305
595,0,49
596,0,49
597,0,21
598,0,141
599,0,112
600,0,18
601,0,678
602,0,322
603,0,64
604,0,131
605,0,115
606,0,550
607,0,137
608,0,44
609,0,100
610,0,336
611,0,64
612,0,100
613,0,456
614,0,64
615,0,588
616,0,161
617,0,135
618,0,506
619,0,647
620,0,22
621,0,23
622,0,259
623,0,305
624,0,54
625,0,21
626,0,64
627,0,377
628,0,13
629,0,247
630,0,115
631,0,247
632,0,-2
633,0,39
634,0,98
635,0,112
636,0,125
637,0,39
638,0,128
639,0,131
640,0,305
641,0,413
642,0,413
643,0,64
644,0,647
645,0,588
646,0,647
647,0,115
648,0,336
649,0,456
650,0,125
651,0,141
652,0,98
653,0,506
654,0,456
655,0,22
656,0,13
657,0,54
658,0,647
659,0,131
660,0,161
661,0,161
662,0,210
663,0,161
664,0,413
665,0,57
666,0,131
667,0,22
668,0,301
669,0,301
670,0,147
671,0,161
672,0,588
673,0,441
674,0,161
675,0,506
676,0,588
677,0,125
678,0,100
679,0,127
680,0,161
681,0,85
682,0,430
683,0,39
684,0,506
685,0,413
686,0,167
687,0,322
688,0,161
689,0,13
690,0,27
691,0,27
692,0,115
693,0,167
694,0,13
695,0,-2
696,0,39
697,0,21
698,0,588
699,0,125
700,0,506
701,0,322
702,0,161
703,0,125
704,0,301
705,0,-2
706,0,588
707,0,161
708,0,54
709,0,441
710,0,147
711,0,49
712,0,98
713,0,190
714,0,167
715,0,49
716,0,647
717,0,430
718,0,125
719,0,588
720,0,285
721,0,588
722,0,147
723,0,647
724,0,413
725,0,21
726,0,506
727,0,647
728,0,506
729,0,161
730,0,456
731,0,13
732,0,588
733,0,49
734,0,456
735,0,125
736,0,647
737,0,456
738,0,141
739,0,-2
740,0,588
741,0,506
742,0,322
743,0,647
744,0,305
745,0,37
746,0,141
747,0,54
748,0,413
749,0,-2
750,0,115
751,0,18
752,0,23
753,0,647
754,0,125
755,0,322
756,0,506
757,0,13
758,0,190
759,0,647
760,0,18
761,0,204
762,0,138
763,0,131
764,0,647
765,0,161
766,0,147
767,0,167
768,0,64
769,0,377
770,0,647
771,0,247
772,0,49
773,0,147
774,0,322
775,0,44
776,0,64
777,0,11
778,0,309
779,0,484
780,0,678
781,0,588
782,0,209
783,0,588
784,0,128
785,0,11
786,0,305
787,0,131
788,0,647
789,0,11
790,0,161
791,0,65
792,0,647
793,0,85
794,0,95
795,0,456
796,0,57
797,0,210
798,0,-2
799,0,161
800,0,550
801,0,165
802,0,190
803,0,98
804,0,258
805,0,37
806,0,125
807,0,588
808,0,305
809,0,647
810,0,550
811,0,131
812,0,49
813,0,456
814,0,456
815,0,456
816,0,550
817,0,18
818,0,18
819,0,259
820,0,506
821,0,96
822,0,647
823,0,75
824,0,377
825,0,49
826,0,247
827,0,161
828,0,285
829,0,506
830,0,147
831,0,147
832,0,-2
833,0,18
834,0,125
835,0,647
836,0,456
837,0,54
838,0,647
839,0,190
840,0,147
841,0,141
842,0,147
843,0,258
844,0,141
845,0,44
846,0,285
847,0,44
848,0,18
849,0,37
850,0,115
851,0,647
852,0,98
853,0,98
854,0,98
855,0,85
856,0,147
857,0,647
858,0,413
859,0,141
860,0,75
861,0,647
862,0,127
863,0,-2
864,0,294
865,0,550
866,0,23
867,0,305
868,0,125
869,0,506
870,0,161
871,0,647
872,0,18
873,0,37
874,0,156
875,0,115
876,0,258
877,0,247
878,0,22
879,0,44
880,0,85
881,0,324
882,0,54
883,0,64
884,0,190
885,0,23
886,0,57
887,0,285
888,0,11
889,0,75
890,0,647
891,0,85
892,0,49
893,0,258
894,0,588
895,0,98
896,0,210
897,0,294
898,0,115
899,0,285
900,0,294
901,0,127
902,0,294
903,0,430
904,0,65
905,0,161
906,0,115
907,0,18
908,0,247
909,0,65
910,0,647
911,0,247
912,0,301
913,0,305
914,0,204
915,0,49
916,0,11
917,0,11
918,0,11
919,0,11
920,0,11
921,0,11
922,0,11
923,0,11
924,0,11
925,0,11
926,0,11
927,0,11
928,0,11
929,0,11
930,0,11
931,0,11
932,0,11
933,0,11
934,0,11
935,0,11
936,0,11
937,0,11
938,0,11
939,0,11
940,0,11
941,0,11
942,0,11
943,0,11
944,0,11
945,0,11
946,0,11
947,0,11
948,0,11
949,0,11
950,0,11
951,0,11
952,0,11
953,0,11
954,0,11
955,0,11
956,0,11
957,0,11
958,0,11
959,0,11
960,0,11
961,0,11
962,0,18
963,0,11
964,0,11
965,0,11
966,0,11
967,0,11
968,0,11
969,0,11
970,0,11
971,0,11
972,0,11
973,0,11
974,0,11
975,0,11
976,0,11
977,0,11
978,0,11
979,0,11
980,0,11
981,0,11
982,0,11
983,0,11
984,0,11
985,0,456
986,0,11
987,0,-2
988,0,11
989,0,11
990,0,11
991,0,11
992,0,11
993,0,11
994,0,11
995,0,11
996,0,11
997,0,11
998,0,11
999,0,11
1000,0,11
1001,0,-2
1002,0,11
1003,0,11
