Id,Label,GC
1,0,68
2,0,68
3,0,68
4,0,68
5,0,68
6,0,6
7,0,6
8,0,230
9,0,13
10,0,13
11,0,13
12,0,12
13,0,13
14,0,13
15,0,13
16,0,13
17,0,17
18,0,17
19,0,68
20,0,68
21,0,68
22,0,68
23,0,112
24,0,112
25,0,160
26,0,160
27,0,230
28,0,230
29,0,17
30,0,104
31,0,104
32,0,104
33,0,98
34,0,34
35,0,34
36,0,34
37,0,34
38,0,13
39,0,13
40,0,13
41,0,104
42,0,104
43,0,43
44,0,43
45,0,104
46,0,104
47,0,104
48,0,104
49,0,104
50,0,104
51,0,230
52,0,230
53,0,98
54,0,54
55,0,54
56,0,190
57,0,68
58,0,68
59,0,68
60,0,60
61,0,60
62,0,60
63,0,60
64,0,60
65,0,60
66,0,60
67,0,60
68,0,68
69,0,68
70,0,68
71,0,104
72,0,104
73,0,73
74,0,73
75,0,166
76,0,73
77,0,73
78,0,73
79,0,73
80,0,34
81,0,34
82,0,34
83,0,83
84,0,83
85,0,256
86,0,256
87,0,256
88,0,256
89,0,256
90,0,256
91,0,68
92,0,68
93,0,13
94,0,94
95,0,94
96,0,94
97,0,94
98,0,98
99,0,98
100,0,98
101,0,54
102,0,54
103,0,103
104,0,104
105,0,104
106,0,104
107,0,469
108,0,469
109,0,98
110,0,110
111,0,110
112,0,112
113,0,112
114,0,112
115,0,230
116,0,230
117,0,117
118,0,117
119,0,117
120,0,98
121,0,98
122,0,13
123,0,13
124,0,13
125,0,83
126,0,98
127,0,98
128,0,469
129,0,13
130,0,13
131,0,13
132,0,13
133,0,13
134,0,98
135,0,98
136,0,98
137,0,34
138,0,34
139,0,68
140,0,68
141,0,68
142,0,230
143,0,230
144,0,68
145,0,68
146,0,13
147,0,13
148,0,148
149,0,148
150,0,230
151,0,230
152,0,230
153,0,230
154,0,230
155,0,230
156,0,156
157,0,156
158,0,166
159,0,98
160,0,160
161,0,160
162,0,160
163,0,160
164,0,34
165,0,34
166,0,166
167,0,166
168,0,166
169,0,166
170,0,230
171,0,230
172,0,230
173,0,173
174,0,173
175,0,173
176,0,176
177,0,177
178,0,177
179,0,177
180,0,177
181,0,104
182,0,166
183,0,13
184,0,13
185,0,104
186,0,104
187,0,104
188,0,83
189,0,83
190,0,190
191,0,190
192,0,34
193,0,34
194,0,177
195,0,177
196,0,420
197,0,420
198,0,420
199,0,420
200,0,420
201,0,420
202,0,420
203,0,420
204,0,204
205,0,204
206,0,98
207,0,98
208,0,98
209,0,209
210,0,209
211,0,209
212,0,209
213,0,68
214,0,68
215,0,469
216,0,469
217,0,217
218,0,217
219,0,217
220,0,220
221,0,220
222,0,220
223,0,223
224,0,223
225,0,223
226,0,223
227,0,223
228,0,13
229,0,13
230,0,230
231,0,230
232,0,230
233,0,230
234,0,103
235,0,103
236,0,236
237,0,236
238,0,236
239,0,239
240,0,239
241,0,239
242,0,239
243,0,104
244,0,12
