Source,Target,Type,Id,Weight
180,329,undirected,266,1
180,378,undirected,267,1
180,536,undirected,268,1
181,277,undirected,269,1
182,187,undirected,270,1
182,514,undirected,271,1
182,515,undirected,272,1
183,184,undirected,273,1
183,317,undirected,274,1
183,508,undirected,275,1
185,186,undirected,276,1
185,187,undirected,277,1
185,437,undirected,278,1
185,450,undirected,279,1
185,489,undirected,280,1
185,528,undirected,281,1
185,529,undirected,282,1
185,583,undirected,283,1
185,584,undirected,284,1
186,187,undirected,285,1
186,250,undirected,286,1
186,251,undirected,287,1
186,514,undirected,288,1
186,515,undirected,289,1
186,533,undirected,290,1
186,552,undirected,291,1
187,514,undirected,292,1
187,515,undirected,293,1
187,532,undirected,294,1
188,189,undirected,295,1
188,372,undirected,296,1
189,317,undirected,297,1
189,372,undirected,298,1
189,456,undirected,299,1
189,459,undirected,300,1
19,20,undirected,301,1
19,21,undirected,302,1
19,244,undirected,303,1
19,39,undirected,304,1
190,191,undirected,305,1
191,269,undirected,306,1
191,270,undirected,307,1
191,271,undirected,308,1
191,272,undirected,309,1
191,273,undirected,310,1
191,274,undirected,311,1
191,275,undirected,312,1
192,193,undirected,313,1
193,477,undirected,314,1
194,195,undirected,315,1
195,505,undirected,316,1
195,619,undirected,317,1
196,197,undirected,318,1
196,198,undirected,319,1
196,199,undirected,320,1
197,198,undirected,321,1
197,199,undirected,322,1
198,199,undirected,323,1
198,203,undirected,324,1
2,3,undirected,325,1
2,4,undirected,326,1
2,478,undirected,327,1
2,5,undirected,328,1
2,512,undirected,329,1
2,595,undirected,330,1
20,21,undirected,331,1
20,367,undirected,332,1
20,390,undirected,333,1
20,509,undirected,334,1
200,201,undirected,335,1
200,202,undirected,336,1
200,203,undirected,337,1
200,510,undirected,338,1
201,202,undirected,339,1
201,203,undirected,340,1
202,203,undirected,341,1
203,510,undirected,342,1
203,511,undirected,343,1
204,205,undirected,344,1
204,502,undirected,345,1
204,504,undirected,346,1
206,207,undirected,347,1
206,208,undirected,348,1
206,318,undirected,349,1
206,483,undirected,350,1
207,208,undirected,351,1
207,299,undirected,352,1
207,327,undirected,353,1
208,624,undirected,354,1
209,210,undirected,355,1
209,211,undirected,356,1
21,237,undirected,357,1
21,244,undirected,358,1
210,211,undirected,359,1
210,212,undirected,360,1
210,260,undirected,361,1
210,499,undirected,362,1
210,633,undirected,363,1
213,214,undirected,364,1
214,295,undirected,365,1
215,216,undirected,366,1
216,636,undirected,367,1
216,637,undirected,368,1
217,218,undirected,369,1
218,219,undirected,370,1
218,225,undirected,371,1
218,410,undirected,372,1
218,411,undirected,373,1
218,412,undirected,374,1
218,426,undirected,375,1
218,553,undirected,376,1
218,642,undirected,377,1
22,144,undirected,378,1
22,214,undirected,379,1
22,295,undirected,380,1
22,473,undirected,381,1
220,221,undirected,382,1
220,222,undirected,383,1
221,222,undirected,384,1
221,293,undirected,385,1
222,293,undirected,386,1
223,224,undirected,387,1
224,416,undirected,388,1
224,417,undirected,389,1
224,418,undirected,390,1
225,226,undirected,391,1
225,227,undirected,392,1
226,227,undirected,393,1
226,415,undirected,394,1
227,417,undirected,395,1
228,229,undirected,396,1
23,24,undirected,397,1
23,301,undirected,398,1
23,302,undirected,399,1
23,303,undirected,400,1
23,561,undirected,401,1
230,231,undirected,402,1
230,232,undirected,403,1
231,232,undirected,404,1
232,477,undirected,405,1
233,386,undirected,406,1
234,235,undirected,407,1
235,500,undirected,408,1
236,237,undirected,409,1
236,238,undirected,410,1
237,238,undirected,411,1
239,240,undirected,412,1
239,241,undirected,413,1
239,242,undirected,414,1
239,254,undirected,415,1
239,255,undirected,416,1
240,241,undirected,417,1
240,242,undirected,418,1
241,242,undirected,419,1
243,244,undirected,420,1
243,259,undirected,421,1
243,352,undirected,422,1
243,401,undirected,423,1
243,421,undirected,424,1
243,590,undirected,425,1
244,282,undirected,426,1
244,474,undirected,427,1
244,526,undirected,428,1
244,602,undirected,429,1
244,604,undirected,430,1
244,616,undirected,431,1
245,277,undirected,432,1
246,247,undirected,433,1
248,249,undirected,434,1
25,26,undirected,435,1
25,341,undirected,436,1
250,251,undirected,437,1
250,386,undirected,438,1
250,514,undirected,439,1
250,650,undirected,440,1
252,365,undirected,441,1
253,254,undirected,442,1
253,255,undirected,443,1
254,255,undirected,444,1
254,316,undirected,445,1
254,317,undirected,446,1
255,649,undirected,447,1
256,257,undirected,448,1
256,346,undirected,449,1
256,361,undirected,450,1
256,451,undirected,451,1
256,585,undirected,452,1
256,602,undirected,453,1
256,650,undirected,454,1
258,259,undirected,455,1
259,368,undirected,456,1
259,525,undirected,457,1
259,526,undirected,458,1
259,590,undirected,459,1
26,163,undirected,460,1
26,530,undirected,461,1
