Id,Label,SLPA
1,0,28
2,0,122
3,0,122
4,0,122
5,0,122
6,0,330
7,0,-2
8,0,28
9,0,122
10,0,122
11,0,122
12,0,615
13,0,122
14,0,122
15,0,122
16,0,122
17,0,122
18,0,122
19,0,122
20,0,431
21,0,122
22,0,28
23,0,-2
24,0,303
25,0,-2
26,0,162
27,0,28
28,0,28
29,0,122
30,0,-2
31,0,466
32,0,-2
33,0,53
34,0,36
35,0,36
36,0,36
37,0,36
38,0,122
39,0,122
40,0,122
41,0,122
42,0,122
43,0,122
44,0,122
45,0,122
46,0,122
47,0,122
48,0,122
49,0,122
50,0,122
51,0,28
52,0,28
53,0,53
54,0,-2
55,0,-2
56,0,275
57,0,338
58,0,122
59,0,-2
60,0,67
61,0,67
62,0,67
63,0,67
64,0,67
65,0,67
66,0,67
67,0,67
68,0,69
69,0,69
70,0,69
71,0,47
72,0,47
73,0,78
74,0,78
75,0,78
76,0,78
77,0,78
78,0,78
79,0,78
80,0,36
81,0,36
82,0,36
83,0,122
84,0,122
85,0,88
86,0,88
87,0,88
88,0,88
89,0,88
90,0,88
91,0,122
92,0,122
93,0,122
94,0,28
95,0,28
96,0,28
97,0,122
98,0,323
99,0,-2
100,0,323
101,0,-2
102,0,-2
103,0,-2
104,0,601
105,0,122
106,0,122
107,0,442
108,0,636
109,0,53
110,0,122
111,0,122
112,0,122
113,0,122
114,0,122
115,0,28
116,0,28
117,0,484
118,0,484
119,0,484
120,0,53
121,0,53
122,0,122
123,0,122
124,0,122
125,0,122
126,0,257
127,0,53
128,0,-2
129,0,122
130,0,122
131,0,122
132,0,122
133,0,122
134,0,323
135,0,323
136,0,323
137,0,36
138,0,36
139,0,140
140,0,140
141,0,140
142,0,28
143,0,28
144,0,28
145,0,122
146,0,122
147,0,122
148,0,122
149,0,122
150,0,28
151,0,28
152,0,28
153,0,28
154,0,28
155,0,28
156,0,565
157,0,521
158,0,370
159,0,323
160,0,162
161,0,162
162,0,162
163,0,162
164,0,165
165,0,-2
166,0,-2
167,0,-2
168,0,-2
169,0,-2
170,0,122
171,0,122
172,0,122
173,0,606
174,0,414
175,0,414
176,0,-2
177,0,-2
178,0,-2
179,0,-2
180,0,-2
181,0,122
182,0,122
183,0,122
184,0,122
185,0,122
186,0,122
187,0,122
188,0,122
189,0,122
190,0,275
191,0,275
192,0,28
193,0,28
194,0,-2
195,0,-2
196,0,-2
197,0,-2
198,0,-2
199,0,-2
200,0,510
201,0,510
202,0,510
203,0,510
204,0,503
205,0,503
206,0,53
207,0,53
208,0,53
209,0,-2
210,0,-2
211,0,-2
212,0,-2
213,0,-2
214,0,-2
215,0,636
216,0,636
217,0,-2
218,0,-2
219,0,-2
220,0,222
221,0,222
222,0,222
223,0,414
224,0,414
225,0,-2
226,0,227
227,0,227
228,0,122
229,0,122
230,0,230
231,0,230
232,0,230
233,0,28
234,0,-2
235,0,-2
236,0,122
237,0,122
238,0,122
239,0,122
240,0,122
241,0,122
242,0,122
243,0,122
244,0,122
245,0,122
246,0,28
247,0,28
248,0,-2
249,0,-2
250,0,122
251,0,122
252,0,363
253,0,122
254,0,122
255,0,122
256,0,-2
257,0,257
258,0,122
259,0,122
260,0,431
261,0,93
262,0,93
263,0,265
264,0,265
265,0,265
266,0,265
267,0,275
268,0,275
269,0,275
270,0,275
271,0,275
272,0,275
273,0,275
274,0,275
275,0,275
276,0,28
277,0,122
278,0,36
279,0,36
280,0,88
281,0,122
282,0,122
283,0,122
284,0,287
285,0,287
286,0,287
287,0,287
288,0,287
289,0,-2
290,0,-2
291,0,-2
292,0,-2
293,0,222
294,0,222
295,0,-2
296,0,338
297,0,53
298,0,53
299,0,53
300,0,275
301,0,303
302,0,122
303,0,-2
304,0,-2
305,0,-2
306,0,-2
307,0,-2
308,0,310
309,0,310
310,0,310
311,0,122
312,0,122
313,0,122
314,0,466
315,0,466
316,0,122
317,0,122
318,0,53
319,0,-2
320,0,-2
321,0,323
322,0,323
323,0,323
324,0,323
325,0,122
326,0,122
327,0,53
328,0,409
329,0,408
330,0,409
331,0,122
332,0,122
333,0,122
334,0,122
335,0,53
336,0,53
337,0,338
338,0,-2
339,0,-2
340,0,275
341,0,-2
342,0,-2
343,0,187
344,0,466
345,0,466
346,0,-2
347,0,650
348,0,650
349,0,122
350,0,122
351,0,122
352,0,122
353,0,122
354,0,-2
355,0,354
356,0,601
357,0,405
358,0,370
359,0,370
360,0,370
361,0,585
362,0,585
363,0,363
364,0,363
365,0,-2
366,0,431
367,0,431
368,0,122
369,0,122
370,0,370
371,0,122
372,0,122
373,0,122
374,0,122
375,0,466
376,0,466
377,0,-2
378,0,-2
379,0,-2
380,0,-2
381,0,-2
382,0,542
383,0,543
384,0,-2
385,0,28
386,0,28
387,0,275
388,0,275
389,0,275
390,0,28
391,0,466
392,0,466
393,0,466
394,0,397
395,0,397
396,0,397
397,0,397
398,0,397
399,0,-2
400,0,28
401,0,28
402,0,404
403,0,404
404,0,404
405,0,405
406,0,405
407,0,-2
408,0,-2
409,0,-2
410,0,411
411,0,218
412,0,218
413,0,414
414,0,414
415,0,414
416,0,414
417,0,414
418,0,414
419,0,122
420,0,122
421,0,122
422,0,122
423,0,466
424,0,122
425,0,122
426,0,-2
427,0,-2
428,0,53
429,0,122
430,0,431
431,0,431
432,0,431
433,0,431
434,0,28
435,0,-2
436,0,122
437,0,122
438,0,53
439,0,-2
440,0,448
441,0,-2
442,0,-2
443,0,28
444,0,28
445,0,323
446,0,323
447,0,323
448,0,448
449,0,448
450,0,122
451,0,257
452,0,-2
453,0,78
454,0,455
455,0,-2
456,0,122
457,0,122
458,0,122
459,0,122
460,0,122
461,0,466
462,0,466
463,0,466
464,0,466
465,0,466
466,0,466
467,0,466
468,0,169
469,0,-2
470,0,-2
471,0,28
472,0,28
473,0,28
474,0,28
475,0,28
476,0,28
477,0,28
478,0,479
479,0,479
480,0,479
481,0,479
482,0,122
483,0,53
484,0,484
485,0,484
486,0,484
487,0,466
488,0,466
489,0,466
490,0,53
491,0,53
492,0,414
493,0,414
494,0,122
495,0,496
496,0,496
497,0,496
498,0,-2
499,0,-2
500,0,-2
501,0,503
502,0,503
503,0,503
504,0,503
505,0,-2
506,0,122
507,0,122
508,0,122
509,0,431
510,0,510
511,0,510
512,0,122
513,0,370
514,0,122
515,0,122
516,0,405
517,0,405
518,0,405
519,0,122
520,0,122
521,0,-2
522,0,523
523,0,523
524,0,523
525,0,122
526,0,122
527,0,122
528,0,122
529,0,36
530,0,162
531,0,36
532,0,36
533,0,122
534,0,122
535,0,122
536,0,505
537,0,505
538,0,505
539,0,-2
540,0,-2
541,0,122
542,0,-2
543,0,-2
544,0,-2
545,0,122
546,0,122
547,0,357
548,0,128
549,0,128
550,0,357
551,0,-2
552,0,122
553,0,560
554,0,560
555,0,560
556,0,560
557,0,560
558,0,560
559,0,560
560,0,560
561,0,303
562,0,-2
563,0,303
564,0,-2
565,0,-2
566,0,53
567,0,323
568,0,573
569,0,573
570,0,573
571,0,573
572,0,573
573,0,573
574,0,573
575,0,466
576,0,466
577,0,466
578,0,28
579,0,582
580,0,582
581,0,582
582,0,582
583,0,582
584,0,185
585,0,585
586,0,585
587,0,585
588,0,122
589,0,122
590,0,122
591,0,122
592,0,122
593,0,53
594,0,122
595,0,122
596,0,122
597,0,122
598,0,122
599,0,601
600,0,601
601,0,601
602,0,-2
603,0,53
604,0,-2
605,0,606
606,0,606
607,0,606
608,0,606
609,0,53
610,0,-2
611,0,28
612,0,-2
613,0,-2
614,0,53
615,0,-2
616,0,-2
617,0,-2
618,0,-2
619,0,-2
620,0,621
621,0,621
622,0,621
623,0,-2
624,0,-2
625,0,-2
626,0,-2
627,0,-2
628,0,-2
629,0,-2
630,0,-2
631,0,-2
632,0,-2
633,0,-2
634,0,-2
635,0,-2
636,0,636
637,0,636
638,0,-2
639,0,-2
640,0,-2
641,0,-2
642,0,643
643,0,643
644,0,643
645,0,479
646,0,479
647,0,479
648,0,601
649,0,601
650,0,-2
651,0,650
