Id,Label,GC
1,0,1
2,0,2
3,0,157
4,0,2
5,0,2
6,0,103
7,0,1
8,0,135
9,0,21
10,0,10
11,0,21
12,0,1
13,0,1
14,0,1
15,0,103
16,0,172
17,0,135
18,0,54
19,0,119
20,0,119
21,0,21
22,0,112
23,0,119
24,0,135
25,0,135
26,0,10
27,0,157
28,0,103
29,0,21
30,0,54
31,0,49
32,0,2
33,0,33
34,0,49
35,0,172
36,0,172
37,0,119
38,0,2
39,0,172
40,0,172
41,0,135
42,0,135
43,0,2
44,0,2
45,0,21
46,0,175
47,0,2
48,0,103
49,0,49
50,0,157
51,0,103
52,0,103
53,0,2
54,0,54
55,0,54
56,0,54
57,0,157
58,0,10
59,0,135
60,0,33
61,0,103
62,0,103
63,0,119
64,0,10
65,0,2
66,0,21
67,0,10
68,0,10
69,0,119
70,0,49
71,0,103
72,0,49
73,0,172
74,0,103
75,0,54
76,0,367
77,0,2
78,0,10
79,0,10
80,0,103
81,0,103
82,0,119
83,0,103
84,0,21
85,0,172
86,0,172
87,0,2
88,0,1
89,0,1
90,0,1
91,0,103
92,0,49
93,0,103
94,0,138
95,0,175
96,0,172
97,0,172
98,0,112
99,0,157
100,0,112
101,0,157
102,0,2
103,0,103
104,0,103
105,0,119
106,0,119
107,0,49
108,0,2
109,0,103
110,0,110
111,0,49
112,0,112
113,0,367
114,0,367
115,0,157
116,0,172
117,0,2
118,0,138
119,0,119
120,0,157
121,0,110
122,0,157
123,0,157
124,0,10
125,0,119
126,0,112
127,0,21
128,0,21
129,0,2
130,0,54
131,0,21
132,0,10
133,0,103
134,0,367
135,0,135
136,0,103
137,0,33
138,0,138
139,0,2
140,0,49
141,0,119
142,0,10
143,0,157
144,0,135
145,0,54
146,0,54
147,0,172
148,0,10
149,0,135
150,0,10
151,0,33
152,0,10
153,0,21
154,0,157
155,0,157
156,0,54
157,0,157
158,0,157
159,0,54
160,0,1
161,0,135
162,0,103
163,0,1
164,0,103
165,0,112
166,0,1
167,0,135
168,0,103
169,0,2
170,0,112
171,0,103
172,0,172
173,0,10
174,0,367
175,0,175
176,0,175
177,0,21
178,0,21
179,0,112
180,0,367
181,0,135
182,0,172
183,0,103
184,0,10
185,0,110
186,0,54
187,0,103
188,0,172
189,0,103
190,0,2
191,0,157
192,0,175
193,0,157
194,0,157
195,0,157
196,0,175
197,0,138
198,0,138
199,0,103
200,0,21
201,0,110
202,0,2
203,0,10
204,0,10
205,0,21
206,0,1
207,0,135
208,0,21
209,0,112
210,0,112
211,0,33
212,0,103
213,0,103
214,0,49
215,0,10
216,0,2
217,0,103
218,0,110
219,0,172
220,0,112
221,0,135
222,0,135
223,0,367
224,0,21
225,0,103
226,0,2
227,0,138
228,0,103
229,0,157
230,0,278
231,0,112
232,0,103
233,0,119
234,0,33
235,0,119
236,0,103
237,0,175
238,0,1
239,0,112
240,0,172
241,0,2
242,0,21
243,0,112
244,0,1
245,0,10
246,0,21
247,0,103
248,0,103
249,0,138
250,0,49
251,0,10
252,0,367
253,0,54
254,0,10
255,0,2
256,0,2
257,0,135
258,0,10
259,0,135
260,0,175
261,0,172
262,0,172
263,0,110
264,0,54
265,0,54
266,0,54
267,0,135
268,0,2
269,0,367
270,0,54
271,0,54
272,0,2
273,0,2
274,0,103
275,0,110
276,0,175
277,0,2
278,0,278
279,0,157
280,0,135
281,0,119
282,0,175
283,0,112
284,0,172
285,0,21
286,0,21
287,0,2
288,0,138
289,0,175
290,0,10
291,0,172
292,0,175
293,0,172
294,0,172
295,0,10
296,0,10
297,0,10
298,0,175
299,0,1
300,0,1
301,0,1
302,0,172
303,0,2
304,0,157
305,0,157
306,0,367
307,0,157
308,0,10
309,0,278
310,0,172
311,0,103
312,0,21
313,0,172
314,0,21
315,0,103
316,0,103
317,0,103
318,0,2
319,0,2
320,0,157
321,0,103
322,0,2
323,0,2
324,0,119
325,0,54
326,0,103
327,0,10
328,0,367
329,0,49
330,0,135
331,0,135
332,0,172
333,0,175
334,0,10
335,0,103
336,0,21
337,0,49
338,0,103
339,0,33
340,0,21
341,0,175
342,0,157
343,0,54
344,0,21
345,0,110
346,0,112
347,0,2
348,0,103
349,0,103
350,0,1
351,0,367
352,0,157
353,0,138
354,0,103
355,0,135
356,0,1
357,0,2
358,0,119
359,0,119
360,0,119
361,0,119
362,0,119
363,0,119
364,0,138
365,0,103
366,0,103
367,0,367
368,0,54
369,0,103
370,0,175
371,0,119
372,0,21
373,0,54
374,0,2
375,0,172
376,0,103
377,0,103
378,0,103
379,0,103
380,0,21
381,0,103
382,0,103
383,0,1
384,0,367
385,0,278
386,0,135
387,0,172
388,0,10
389,0,2
390,0,21
391,0,10
392,0,157
393,0,119
394,0,49
395,0,103
396,0,110
397,0,367
398,0,110
399,0,2
400,0,2
401,0,2
402,0,103
403,0,1
404,0,103
405,0,21
406,0,33
407,0,33
408,0,21
409,0,21
410,0,21
411,0,172
412,0,110
413,0,110
414,0,135
415,0,103
416,0,175
417,0,367
418,0,112
419,0,1
420,0,135
421,0,175
422,0,172
423,0,2
424,0,119
425,0,138
426,0,33
427,0,2
428,0,119
429,0,138
430,0,1
431,0,157
432,0,135
433,0,175
434,0,135
435,0,175
436,0,138
437,0,110
438,0,1
439,0,138
440,0,33
441,0,157
442,0,103
443,0,33
444,0,33
445,0,54
446,0,2
447,0,135
448,0,103
449,0,2
450,0,2
451,0,157
452,0,157
453,0,157
454,0,278
455,0,119
456,0,33
457,0,1
458,0,54
459,0,10
460,0,119
461,0,49
462,0,135
463,0,49
464,0,135
465,0,103
466,0,10
467,0,10
468,0,367
469,0,172
470,0,135
471,0,135
472,0,54
473,0,2
474,0,54
475,0,2
476,0,21
477,0,157
478,0,157
479,0,103
480,0,278
481,0,21
482,0,112
483,0,2
484,0,2
485,0,103
486,0,10
487,0,10
488,0,21
489,0,21
490,0,21
491,0,49
492,0,110
493,0,103
494,0,33
495,0,119
496,0,1
497,0,1
498,0,21
499,0,119
500,0,367
501,0,138
502,0,103
503,0,103
504,0,103
505,0,103
506,0,21
507,0,10
508,0,54
509,0,1
510,0,172
511,0,157
512,0,33
513,0,157
514,0,110
515,0,2
516,0,110
517,0,2
518,0,112
519,0,21
520,0,157
521,0,10
522,0,367
523,0,103
524,0,172
525,0,2
526,0,2
527,0,54
528,0,2
529,0,2
530,0,110
531,0,175
532,0,103
533,0,278
534,0,103
535,0,367
536,0,157
537,0,135
538,0,112
539,0,110
540,0,110
541,0,2
542,0,33
543,0,10
544,0,103
545,0,135
546,0,2
547,0,49
548,0,119
549,0,21
550,0,21
551,0,103
552,0,103
553,0,1
554,0,21
555,0,175
556,0,172
557,0,2
558,0,10
559,0,103
560,0,21
561,0,112
562,0,103
563,0,54
564,0,2
565,0,2
566,0,2
567,0,49
568,0,21
569,0,110
570,0,110
571,0,278
572,0,49
573,0,103
574,0,10
575,0,49
576,0,103
577,0,54
578,0,278
579,0,103
580,0,175
581,0,103
582,0,103
583,0,1
584,0,103
585,0,112
586,0,49
587,0,110
588,0,138
589,0,138
590,0,103
591,0,103
592,0,2
593,0,21
594,0,21
595,0,2
596,0,2
597,0,135
598,0,367
599,0,1
600,0,2
601,0,103
602,0,21
603,0,2
604,0,2
605,0,54
606,0,119
607,0,157
608,0,157
609,0,21
610,0,103
611,0,112
612,0,2
613,0,175
614,0,54
615,0,112
616,0,112
617,0,112
618,0,172
619,0,103
620,0,103
621,0,103
622,0,21
623,0,21
624,0,172
625,0,112
626,0,103
627,0,175
628,0,54
629,0,1
630,0,103
631,0,278
632,0,21
633,0,138
634,0,138
635,0,10
636,0,103
637,0,278
638,0,278
639,0,119
640,0,367
641,0,103
642,0,103
643,0,103
644,0,2
645,0,21
646,0,21
647,0,172
648,0,1
649,0,103
650,0,2
651,0,175
652,0,367
653,0,135
654,0,135
655,0,135
656,0,119
657,0,103
658,0,119
659,0,103
660,0,138
661,0,2
662,0,103
663,0,172
664,0,2
665,0,2
666,0,278
667,0,10
668,0,1
669,0,119
670,0,367
671,0,367
672,0,103
673,0,21
674,0,157
675,0,112
676,0,112
677,0,112
678,0,1
679,0,138
680,0,54
681,0,112
682,0,138
683,0,103
684,0,33
685,0,2
686,0,1
687,0,138
688,0,172
689,0,172
690,0,49
691,0,278
692,0,135
693,0,112
694,0,135
695,0,175
696,0,367
697,0,2
698,0,135
699,0,49
700,0,2
701,0,21
702,0,2
703,0,157
704,0,157
705,0,157
706,0,157
707,0,157
708,0,21
709,0,175
710,0,2
711,0,2
712,0,21
713,0,103
714,0,21
715,0,157
716,0,54
717,0,110
718,0,110
719,0,172
720,0,172
721,0,157
722,0,2
723,0,2
724,0,103
725,0,54
726,0,172
727,0,119
728,0,21
729,0,103
730,0,33
731,0,103
732,0,112
733,0,2
734,0,33
735,0,21
736,0,112
737,0,112
738,0,157
739,0,135
740,0,103
