367:	1219 3993 11763 
368:	2379 14600 
369:	236 
370:	236 
371:	236 
372:	236 6605 
373:	236 
374:	3502 
375:	3502 
376:	236 2198 3502 
377:	3502 
378:	3415 3502 3517 
379:	3518 
380:	3518 
381:	3518 
382:	3518 3523 4732 
383:	236 2926 
384:	236 
385:	14510 
386:	14510 
387:	3557 
388:	124 
389:	124 2734 2753 
390:	3187 
391:	3187 
392:	3187 
393:	1089 4514 13557 
394:	335 
395:	236 335 
396:	335 3634 
397:	3655 
398:	3655 
399:	3655 
400:	1188 
401:	1188 13557 
402:	1188 
403:	1188 
404:	3676 
405:	3676 
406:	3676 
407:	3676 
408:	2379 3679 
409:	3679 
410:	3679 
411:	359 
412:	359 3700 13665 
413:	359 3700 
414:	8614 10758 
415:	335 1317 2736 8614 
416:	236 12314 
417:	124 236 11427 14396 
418:	2736 
419:	3781 
420:	2734 3781 
421:	115 13448 
422:	115 
423:	115 
424:	115 
425:	1880 
426:	236 1219 11427 
427:	11427 
428:	1741 6605 
429:	1741 
430:	236 1741 8380 16169 
431:	1065 2468 3187 
432:	2454 
433:	2454 
434:	115 13663 
435:	2734 13663 
436:	13663 
437:	2379 3914 
438:	3919 
439:	3919 
440:	14396 
441:	236 14396 
442:	14396 
443:	1579 5199 
444:	1579 13024 
445:	2753 
446:	2753 3968 
447:	2753 
448:	1089 10325 12610 
449:	12233 12610 
450:	2379 3993 
451:	3993 
452:	1317 3993 
453:	1317 
454:	335 2379 13665 
455:	2379 
456:	2379 
457:	236 3700 
458:	236 
459:	236 
460:	236 3700 5295 
461:	236 10595 
462:	1460 
463:	1460 
464:	1460 
465:	1460 
466:	1460 
467:	4124 13024 
468:	4124 
469:	1458 4144 4640 
470:	4640 16882 
471:	2307 
472:	2307 
473:	2307 5915 
474:	236 2379 4217 
475:	236 
476:	359 
477:	359 
478:	359 3700 17380 
479:	296 
480:	296 
481:	13332 
482:	13332 14436 
483:	569 2307 12314 
484:	11427 
485:	236 1321 3187 4303 11427 13665 
486:	11427 
487:	1388 
488:	1388 
489:	236 
490:	236 
491:	236 335 17380 
492:	4351 
493:	1551 1934 4351 10325 
494:	2466 
495:	2466 4367 
496:	2466 
497:	12565 
498:	1579 4640 12565 
499:	2597 12565 
500:	12565 
501:	13516 
502:	236 
503:	236 2454 
504:	2609 
505:	2609 
506:	216 
507:	124 216 2379 14485 
508:	236 
509:	236 11656 
510:	236 
511:	1551 12314 
512:	10445 11251 12314 
513:	3366 
514:	3366 4505 
515:	3366 
516:	4514 
517:	4514 
518:	236 4514 
519:	124 11106 16082 
520:	13663 
521:	1934 2379 13663 
522:	13663 
523:	2379 
524:	2379 13663 
525:	2379 
526:	2379 
527:	1460 2379 
528:	1447 4732 12065 
529:	359 12314 
530:	1551 12314 
531:	3096 
532:	124 
533:	124 13607 
534:	124 
535:	4640 4642 
536:	4640 11893 
537:	4664 
538:	4664 
539:	4671 
540:	4671 
541:	834 4671 
542:	1447 2283 4671 11427 17106 
543:	1447 4713 10698 
544:	4640 4838 
545:	4640 
546:	115 4640 
547:	2734 
548:	2734 
549:	4640 4732 
550:	4640 
551:	4742 
552:	4742 
553:	4742 
554:	4742 
555:	4742 14861 
556:	2779 
557:	2779 
558:	4771 
559:	4771 
560:	4771 
561:	12594 
562:	12594 
563:	2823 
564:	2823 
565:	2823 
566:	4791 
567:	236 4791 4796 4819 12594 
568:	4791 6832 
569:	4838 
570:	2926 
571:	2926 12594 
572:	2926 
573:	13945 
574:	13945 
575:	13945 
576:	13945 
577:	3700 17380 
578:	4878 
579:	4878 
580:	1388 3993 
581:	1388 3993 
582:	232 10325 
583:	4941 
584:	4941 
585:	4941 
586:	1458 2736 
587:	11427 
588:	11427 
589:	236 2823 
590:	236 
591:	2468 3187 
592:	569 
593:	236 296 16974 
594:	296 
595:	296 
596:	296 
597:	236 5028 
598:	5032 6156 
599:	2379 4505 
600:	4505 
601:	2379 
602:	3187 
603:	3184 
604:	2396 4838 
605:	4742 
606:	4742 5074 
607:	4742 
608:	5103 
609:	4838 5103 
610:	1579 5103 12670 16082 
611:	1741 
612:	1741 
613:	124 236 2926 
614:	236 1388 1389 12314 
615:	10004 
616:	10004 
617:	236 14510 16991 
618:	5199 
619:	5199 13024 
620:	5199 
621:	3993 
622:	3993 5837 
623:	5103 
624:	5103 
625:	1563 4505 
626:	2379 
627:	16082 
628:	1219 
629:	5248 
630:	5248 
631:	5199 5259 10512 
632:	5199 
633:	236 6105 
634:	236 2379 
635:	236 14861 
636:	236 
637:	236 
638:	5074 
639:	5295 
640:	5295 
641:	5295 
642:	1317 
643:	1317 
644:	1317 
645:	1317 6001 
646:	1317 
647:	1317 
648:	1317 
649:	287 1219 3187 4838 5326 
650:	2379 5352 
651:	4838 5352 
652:	236 5028 
653:	4505 5028 
654:	124 236 12314 
655:	913 12314 
656:	236 12314 
657:	12314 
658:	5419 
659:	5419 
660:	5419 
661:	5419 
662:	1460 
663:	4838 
664:	3009 12314 
665:	3993 
666:	3993 
667:	3993 13479 
668:	3993 10539 12565 
669:	1065 
670:	1065 5295 
671:	1065 
672:	5497 
673:	5497 
674:	11427 
675:	1579 3187 4505 10698 
676:	236 
677:	236 5522 
678:	236 
679:	5524 
680:	335 1934 5524 
681:	1317 2379 5524 13448 
682:	2736 
683:	2736 
684:	13516 
685:	236 
686:	236 
687:	236 13448 
688:	236 5575 
689:	236 
690:	236 
691:	5259 13665 
692:	236 5259 5608 10512 
693:	1447 
694:	2468 
695:	2468 
696:	2468 
697:	2468 13663 
698:	2609 4367 12670 
699:	236 1579 
700:	232 236 2396 
701:	236 5028 
702:	5763 11106 
703:	11106 15747 
704:	296 
705:	3993 10512 
706:	3993 8976 
707:	3993 
708:	2307 
709:	5837 
710:	3655 
711:	236 1388 
712:	236 2379 2409 12314 
713:	2379 
714:	6471 
715:	4640 6471 
716:	6471 
717:	11427 12314 
718:	236 2379 11427 
719:	1219 2283 6156 
720:	2736 5915 
721:	5915 
722:	5915 
723:	124 236 2973 
724:	124 236 1579 
725:	236 
726:	4505 
727:	3993 4505 6001 13665 
728:	236 
729:	1317 2379 6001 
730:	2379 
731:	2379 2454 13665 
732:	236 3009 
733:	236 
734:	2466 2609 
735:	2609 
736:	2609 5497 12680 
737:	4367 
738:	3187 4367 
739:	236 11427 
740:	236 2396 
741:	236 
742:	236 287 
743:	335 6072 
744:	335 11427 
745:	6079 11349 
746:	6079 
747:	3518 
748:	3518 
749:	3518 
750:	6105 
751:	6105 
752:	2409 
753:	2409 
754:	2409 
755:	4878 6900 13315 
756:	13315 
757:	13315 
758:	4640 16882 
759:	1447 4640 
760:	236 2379 
761:	2823 6156 
762:	6156 
763:	6156 
764:	4838 6156 
765:	6156 
766:	6156 
767:	6156 
768:	6156 
769:	335 4351 14396 
770:	335 13665 
771:	335 
772:	5326 
773:	2283 5326 
774:	1880 
775:	6229 
776:	6229 
